id,sk,cs,hu
29320,Hviezdy typu K,Hvězdy třídy K,K színképtípusú csillagok
29321,Kiss (skupina),Kiss,KISS
29322,Albumy skupiny Kiss,Alba Kiss,KISS-albumok
29323,Lechia Gdańsk,Lechia Gdańsk,KS Lechia Gdańsk
29324,Kabardsko-Balkarsko,Kabardsko-Balkarsko,Kabard- és Balkárföld
29325,Zlúčeniny kadmia,Sloučeniny kadmia,Kadmiumvegyületek
29326,Lastúrniky,Mlži,Kagylók
29327,Kenozoikum,Kenozoikum,Kainozoikum
29328,Káhira,Káhira,Kairó
29329,Kanoistika na Letných olympijských hrách 2008,Kanoistika na Letních olympijských hrách 2008,Kajak-kenu a 2008. évi nyári olimpiai játékokon
29330,Kanoistika na Letných olympijských hrách 2012,Kanoistika na Letních olympijských hrách 2012,Kajak-kenu a 2012. évi nyári olimpiai játékokon
29331,Kanoistika na Letných olympijských hrách 2020,Kanoistika na Letních olympijských hrách 2020,Kajak-kenu a 2020. évi nyári olimpiai játékokon
29332,Kanoistika na Letných olympijských hrách,Kanoistika na letních olympijských hrách,Kajak-kenu a nyári olimpiai játékokon
29333,Kanoistika na Letných olympijských hrách 2004,Kanoistika na Letních olympijských hrách 2004,Kajak-kenu versenyszámok a 2004. évi nyári olimpiai játékokon
29334,Kajmanie ostrovy,Kajmanské ostrovy,Kajmán-szigetek
29335,Kakaduovité,Kakaduovití,Kakadufélék
29336,Kukučkotvaré,Kukačky,Kakukkalakúak
29337,Kukučkovité,Kukačkovití,Kakukkfélék
29338,Dobrodružné filmy,Dobrodružné filmy,Kalandfilmek
29339,Adventúry,Adventury,Kalandjátékok
29340,Pečiarkotvaré,Lupenotvaré,Kalaposgombák
29341,Kladivári,Kladiváři,Kalapácsvetők
29342,Zlúčeniny vápnika,Sloučeniny vápníku,Kalciumvegyületek
29343,Kalifornia,Kalifornie,Kalifornia
29344,Geografia Kalifornie,Geografie Kalifornie,Kalifornia földrajza
29345,Doprava v Kalifornii,Doprava v Kalifornii,Kalifornia közlekedése
29346,Counties v Kalifornii,Okresy v Kalifornii,Kalifornia megyéi
29347,Politika v Kalifornii,Politika Kalifornie,Kalifornia politikai élete
29348,Šport v Kalifornii,Sport v Kalifornii,Kalifornia sportélete
29349,Guvernéri Kalifornie,Guvernéři Kalifornie,Kalifornia állam kormányzói
29350,Osobnosti z Kalifornie,Lidé z Kalifornie,Kaliforniaiak
29351,Kalifovia,Chalífové,Kalifák
29352,Kaliningradská oblasť,Kaliningradská oblast,Kalinyingrádi terület
29353,Kalkata,Kalkata,Kalkutta
29354,Kalmycko,Kalmycko,Kalmükföld
29355,Kalužská oblasť,Kalužská oblast,Kalugai terület
29356,Pirátstvo,Pirátství,Kalózkodás
29357,Piráti,Piráti,Kalózok
29358,Kambodža,Kambodža,Kambodzsa
29359,Geografia Kambodže,Geografie Kambodže,Kambodzsa földrajza
29360,Šport v Kambodži,Sport v Kambodži,Kambodzsa sportélete
29361,Dejiny Kambodže,Dějiny Kambodže,Kambodzsa történelme
29362,Lokality Svetového dedičstva v Kambodži,Světové dědictví (Kambodža),Kambodzsa világörökségi helyszínei
29363,Kambodžskí politici,Kambodžští politici,Kambodzsai politikusok
29364,Kambodžské osobnosti,Kambodžané,Kambodzsaiak
29365,Kamčatský kraj,Kamčatský kraj,Kamcsatkai határterület
29366,Geografia Kamerunu,Geografie Kamerunu,Kamerun földrajza
29367,Vrchy v Kamerune,Hory a kopce v Kamerunu,"Kamerun hegyei, hegységei"
29368,Šport v Kamerune,Sport v Kamerunu,Kamerun sportélete
29369,Jazerá v Kamerune,Jezera v Kamerunu,Kamerun tavai
29370,Futbal v Kamerune,Fotbal v Kamerunu,Kameruni labdarúgás
29371,Kamerunskí futbalisti,Kamerunští fotbalisté,Kameruni labdarúgók
29372,Kamerunskí olympionici,Kamerunští olympionici,Kameruni olimpikonok
29373,Kamerunskí športovci,Kamerunští sportovci,Kameruni sportolók
29374,Kamerunské osobnosti,Kamerunci,Kameruniak
29375,Chameleónovité,Chameleonovití,Kaméleonfélék
29376,Vysoké školy v Kanade,Vysoké školy v Kanadě,Kanada egyetemei
29377,Mrakodrapy v Kanade,Mrakodrapy v Kanadě,Kanada felhőkarcolói
29378,Rieky v Kanade,Řeky v Kanadě,Kanada folyói
29379,Geografia Kanady,Geografie Kanady,Kanada földrajza
29380,Generálni guvernéri Kanady,Generální guvernéři Kanady,Kanada főkormányzói
29381,Ekonomika v Kanade,Ekonomika Kanady,Kanada gazdasága
29382,Vojsko v Kanade,Kanadské vojenství,Kanada hadereje
29383,Vrchy v Kanade,Hory a kopce v Kanadě,"Kanada hegyei, hegységei"
29384,Mosty v Kanade,Mosty v Kanadě,Kanada hídjai
29385,Literatúra v Kanade,Kanadská literatura,Kanada irodalma
29386,Kultúra v Kanade,Kanadská kultura,Kanada kultúrája
29387,Administratívne členenie Kanady,Administrativní dělení Kanady,Kanada közigazgatása
29388,Doprava v Kanade,Doprava v Kanadě,Kanada közlekedése
29389,Predsedovia vlády Kanady,Premiéři Kanady,Kanada miniszterelnökei
29390,Národné parky v Kanade,Národní parky v Kanadě,Kanada nemzeti parkjai
29391,Politika v Kanade,Kanadská politika,Kanada politikai élete
29392,Geobox locator Kanada,Kanada LocMap,Kanada pozíciós térképsablonjai
29393,Letiská v Kanade,Letiště v Kanadě,Kanada repülőterei
29394,Šport v Kanade,Sport v Kanadě,Kanada sportélete
29395,Súostrovia Kanady,Souostroví Kanady,Kanada szigetcsoportjai
29396,Ostrovy Kanady,Ostrovy Kanady,Kanada szigetei
29397,Jazerá v Kanade,Jezera v Kanadě,Kanada tavai
29398,Mestá v Kanade,Města v Kanadě,Kanada települései
29399,Dejiny Kanady,Dějiny Kanady,Kanada történelme
29400,Náboženstvo v Kanade,Náboženství v Kanadě,Kanada vallási élete
29401,Železnica v Kanade,Železniční doprava v Kanadě,Kanada vasúti közlekedése
29402,Lokality Svetového dedičstva v Kanade,Světové dědictví (Kanada),Kanada világörökségi helyszínei
29403,Vodopády v Kanade,Vodopády v Kanadě,Kanada vízesései
29404,Stavby v Kanade,Stavby v Kanadě,Kanada építményei
29405,Kozmonautika v Kanade,Kosmonautika Kanady,Kanada űrkutatása
29406,Veľká cena Kanady,Grand Prix Kanady,Kanadai Formula-1 futamok
29407,Kanadskí piloti F1,Kanadští piloti F1,Kanadai Formula-1-es versenyzők
29408,Kanadskí nositelia Nobelovej ceny,Kanadští nositelé Nobelovy ceny,Kanadai Nobel-díjasok
29409,Kanadskí atléti,Kanadští atleti,Kanadai atléták
29410,Kanadskí astronómovia,Kanadští astronomové,Kanadai csillagászok
29411,Kanadskí hráči curlingu,Kanadští hráči curlingu,Kanadai curlingjátékosok
29412,Podniky v Kanade,Kanadské firmy,Kanadai cégek
29413,Kanadskí bubeníci,Kanadští bubeníci,Kanadai dobosok
29414,Kanadskí džezoví hudobníci,Kanadští jazzoví hudebníci,Kanadai dzsesszzenészek
29415,Kanadské filmy,Kanadské filmy,Kanadai filmek
29416,Kinematografia v Kanade,Kanadská kinematografie,Kanadai filmművészet
29417,Kanadskí filmoví režiséri,Kanadští režiséři,Kanadai filmrendezők
29418,Kanadskí fyzici,Kanadští fyzici,Kanadai fizikusok
29419,Kanadskí scenáristi,Kanadští scenáristé,Kanadai forgatókönyvírók
29420,Kanadskí fotografi,Kanadští fotografové,Kanadai fotográfusok
29421,Kanadskí bežci,Kanadští běžci,Kanadai futók
29422,Kanadskí gitaristi,Kanadští kytaristé,Kanadai gitárosok
29423,Kanadské hororové filmy,Kanadské hororové filmy,Kanadai horrorfilmek
29424,Indiáni v Kanade,První národy,Kanadai indián törzsek
29425,Kanadskí hokejisti,Kanadští lední hokejisté,Kanadai jégkorongozók
29426,Plemená psov z Kanady,Plemena psů z Kanady,Kanadai kutyafajták
29427,Kanadskí chemici,Kanadští chemici,Kanadai kémikusok
29428,Kanadskí spisovatelia,Kanadští spisovatelé,"Kanadai költők, írók"
29429,Kanadské hudobné skupiny,Kanadské hudební skupiny,Kanadai könnyűzenei együttesek
29430,Futbal v Kanade,Fotbal v Kanadě,Kanadai labdarúgás
29431,Letecké spoločnosti Kanady,Kanadské letecké společnosti,Kanadai légitársaságok
29432,Kanadskí matematici,Kanadští matematici,Kanadai matematikusok
29433,Kanadské heavymetalové hudobné skupiny,Kanadské metalové skupiny,Kanadai metalegyüttesek
29434,Kanadskí krasokorčuliari,Kanadští krasobruslaři,Kanadai műkorcsolyázók
29435,Kanadskí olympijskí víťazi,Kanadští olympijští vítězové,Kanadai olimpiai bajnokok
29436,Kanadskí bronzoví olympijskí medailisti,Kanadští bronzoví olympijští medailisté,Kanadai olimpiai bronzérmesek
29437,Kanadskí strieborní olympijskí medailisti,Kanadští stříbrní olympijští medailisté,Kanadai olimpiai ezüstérmesek
29438,Kanadskí olympijskí medailisti,Kanadští olympijští medailisté,Kanadai olimpiai érmesek
29439,Kanadskí olympionici,Kanadští olympionici,Kanadai olimpikonok
29440,Kanadskí lekári,Kanadští lékaři,Kanadai orvosok
29441,Kanadskí politici,Kanadští politici,Kanadai politikusok
29442,Kanadské punkrockové hudobné skupiny,Kanadské punkové skupiny,Kanadai punkegyüttesek
29443,Politické strany v Kanade,Politické strany v Kanadě,Kanadai pártok
29444,Kanadské lietadlá,Kanadská letadla,Kanadai repülőgépek
29445,Kanadské rockové skupiny,Kanadské rockové skupiny,Kanadai rockegyüttesek
29446,Kanadskí spisovatelia science-fiction,Kanadští spisovatelé science fiction,Kanadai sci-fi-szerzők
29447,Kanadskí športovci,Kanadští sportovci,Kanadai sportolók
29448,Kanadskí herci,Kanadští herci,Kanadai színészek
29449,Kanadské televízne seriály,Kanadské televizní seriály,Kanadai televíziós sorozatok
29450,Kanadskí tenisti,Kanadští tenisté,Kanadai teniszezők
29451,Kanadskí vedci,Kanadští vědci,Kanadai tudósok
29452,Kanadskí historici,Kanadští historikové,Kanadai történészek
29453,Wikipédia:Redaktori z Kanady,Wikipedisté z Kanady,Kanadai wikipédisták
29454,Kanadskí hudobní skladatelia,Kanadští hudební skladatelé,Kanadai zeneszerzők
29455,Kanadskí hudobníci,Kanadští hudebníci,Kanadai zenészek
29456,Kanadskí novinári,Kanadští novináři,Kanadai újságírók
29457,Kanadskí podnikatelia,Kanadští podnikatelé,Kanadai üzletemberek
29458,Kanadskí kozmonauti,Kanadští astronauti,Kanadai űrhajósok
29459,Kanadské zoznamy,Kanadské seznamy,Kanadával kapcsolatos listák
29460,Šablóny Kanady,Kanada,Kanadával kapcsolatos sablonok
29461,Prefektúra Kanagawa,Prefektura Kanagawa,Kanagava prefektúra
29462,Prvosienkovité,Prvosenkovité,Kankalinfélék
29463,Kanabinoidy,Kanabinoidy,Kannabinoidok
29464,Marihuana,Konopí,Kannabisz
29465,Mestá v Kansase,Města v Kansasu,Kansas települései
29466,Osobnosti z Kansasu,Lidé z Kansasu,Kansasiak
29467,Kantakuzénovci,Kantakuzenové,Kantakuzénosz-ház
29468,Kanton (mesto),Kanton,Kanton
29469,Kantábria,Kantábrie,Kantábria
29470,Kaňony,Soutěsky,Kanyonok és szurdokok
29471,Kanárske ostrovy,Kanárské ostrovy,Kanári-szigetek
29472,Rád menších bratov kapucínov,Řád menších bratří kapucínů,Kapucinus rend
29473,Kapucíni,Kapucíni,Kapucinus szerzetesek
29474,Karačajsko-Čerkesko,Karačajsko-Čerkesko,Karacsáj- és Cserkeszföld
29475,Grafémy,Znaky písma,Karakterek
29476,Šablóny narábajúce s reťazcami,Pracující s řetězci,Karakterlánc-manipulációs sablonok
29477,Karatisti,Karatisté,Karatézók
29478,Karbamáty,Karbamáty,Karbamátok
29479,Wikipédia:Údržba,Údržba,Karbantartási gondok
29480,Karbidy,Karbidy,Karbidok
29481,Karboxylové kyseliny,Karboxylové kyseliny,Karbonsavak
29482,Uhličitany,Uhličitany,Karbonátok
29483,Kardiológia,Kardiologie,Kardiológia
29484,Kardiológovia,Kardiologové,Kardiológusok
29485,Meče,Meče,Kardok
29486,Karibik,Karibik,Karib-térség
29487,Karikaturisti,Karikaturisté,Karikaturisták
29488,Dirigenti,Dirigenti,Karmesterek
29489,Kosmáčovité,Kosmanovití,Karmosmajomformák
29490,Karolovci,Karlovci,Karoling-ház
29491,Autobusy Karosa,Autobusy Karosa,Karosa autóbuszok
29492,Karoténoidy,Karotenoidy,Karotinoidok
29493,Kartágo,Kartágo,Karthágó
29494,Vianoce,Vánoce,Karácsony
29495,Vianočné albumy,Vánoční alba,Karácsonyi albumok
29496,Vianočné piesne,Vánoční písně,Karácsonyi dalok
29497,Vianočné jedlá,Vánoční jídla,Karácsonyi ételek
29498,Karelská republika,Karelská republika,Karélia
29499,Košice,Košice,Kassa
29500,Mestské časti Košíc,Městské části Košic,Kassa városrészei
29501,Stavby v Košiciach,Stavby v Košicích,Kassa építményei
29502,Okres Košice-okolie,Okres Košice-okolí,Kassa-vidéki járás
29503,Arcibiskupstvo Košice,Arcidiecéze košická,Kassai főegyházmegye
29504,Košický kraj,Košický kraj,Kassai kerület
29505,Biskupi Košickej diecézy,Košičtí biskupové,Kassai püspökök
29506,Osobnosti z Košíc,Lidé z Košic,Kassaiak
29507,Paláce,Paláce,"Kastélyok, paloták"
29508,Paláce podľa štátu,Paláce podle zemí,"Kastélyok, paloták országok szerint"
29509,Kaskadéri,Kaskadéři,Kaszkadőrök
29510,Kastília-León,Kastilie a León,Kasztília és León
29511,Katalánski futbalisti,Katalánští fotbalisté,Katalán labdarúgók
29512,Katalánski politici,Katalánští politici,Katalán politikusok
29513,Katalánske osobnosti,Katalánci,Katalánok
29514,Katalánsko,Katalánsko,Katalónia
29515,Katar (štát),Katar,Katar
29516,Geografia Kataru,Geografie Kataru,Katar földrajza
29517,Doprava v Katare,Doprava v Kataru,Katar közlekedése
29518,Šport v Katare,Sport v Kataru,Katar sportélete
29519,Futbal v Katare,Fotbal v Kataru,Katari labdarúgás
29520,Letecké spoločnosti Kataru,Katarské letecké společnosti,Katari légitársaságok
29521,Katarskí športovci,Katarští sportovci,Katari sportolók
29522,Katastrofické filmy,Katastrofické filmy,Katasztrófafilmek
29523,Katastrofy,Katastrofy,Katasztrófák
29524,Teória kategórií,Teorie kategorií,Kategóriaelmélet
29525,Kategórie podľa miesta,Kategorie podle místa,Kategóriák földrajzi hely szerint
29526,Kategórie podľa času,Kategorie podle času,Kategóriák idő szerint
29527,Kategórie podľa svetadielu,Kategorie podle kontinentů,Kategóriák kontinensek szerint
29528,Kategórie podľa jazyka,Kategorie podle jazyka,Kategóriák nyelv szerint
29529,Kategórie podľa štátu,Kategorie podle zemí,Kategóriák országok szerint
29530,Kategórie podľa mesta,Kategorie podle měst,Kategóriák település szerint
29531,Kategórie podľa rokov,Kategorie podle let,Kategóriák évek szerint
29532,Kategórie podľa storočia,Kategorie podle století,Kategóriák évszázadok szerint
29533,Lienkovité,Slunéčkovití,Katicabogár-félék
29534,Katióny,Kationty,Kationok
29535,Káthmandu,Káthmándú,Katmandu
29536,Katolicizmus,Katolictví,Katolicizmus
29537,Rímskokatolícka cirkev v Rakúsku,Římskokatolická církev v Rakousku,Katolikus egyház Ausztriában
29538,Rímskokatolícka cirkev v Azerbajdžane,Římskokatolická církev v Ázerbájdžánu,Katolikus egyház Azerbajdzsánban
29539,Rímskokatolícka cirkev v Belgicku,Římskokatolická církev v Belgii,Katolikus egyház Belgiumban
29540,Rímskokatolícka cirkev v Poľsku,Římskokatolická církev v Polsku,Katolikus egyház Lengyelországban
29541,Rímskokatolícka cirkev v Maďarsku,Římskokatolická církev v Maďarsku,Katolikus egyház Magyarországon
29542,Rímskokatolícka cirkev v Nemecku,Římskokatolická církev v Německu,Katolikus egyház Németországban
29543,Rímskokatolícka cirkev v Taliansku,Římskokatolická církev v Itálii,Katolikus egyház Olaszországban
29544,Rímskokatolícka cirkev v Španielsku,Římskokatolická církev ve Španělsku,Katolikus egyház Spanyolországban
29545,Rímskokatolícka cirkev na Slovensku,Římskokatolická církev na Slovensku,Katolikus egyház Szlovákiában
29546,Rímskokatolícka cirkev na Ukrajine,Římskokatolická církev na Ukrajině,Katolikus egyház Ukrajnában
29547,Rímskokatolícka cirkev podľa štátu,Římskokatolická církev podle zemí,Katolikus egyház országok szerint
29548,Kresťanská mystika,Křesťanská mystika,"Katolikus közösségek, lelkiségi mozgalmak"
29549,Katolícka liturgia,Katolická liturgie,Katolikus liturgia
29550,Katolícke kostoly,Katolické kostely,"Katolikus templomok, kolostorok"
29551,Katolícke kostoly podľa štátu,Katolické kostely podle zemí,"Katolikus templomok, kolostorok országok szerint"
29552,Vojenské jednotky,Vojenské jednotky,Katonai egység
29553,Vojenské infobox šablóny,Vojenské infoboxy,Katonai infoboxsablonok
29554,Vojenské vyznamenania,Vojenská vyznamenání,Katonai kitüntetések
29555,Vojenské navigačné šablóny,Vojenské navigační šablony,Katonai navigációs sablonok
29556,Vojenské letectvo,Vojenské letectví,Katonai repülés
29557,Vojenské lietadlá,Vojenská letadla,Katonai repülőgépek
29558,Vojenské šablóny,Vojenské,Katonai sablonok
29559,Vojenské spojenectvá,Vojenská spojenectví,Katonai szövetségek
29560,Vojenské cintoríny,Vojenské hřbitovy,Katonai temetők
29561,Vojenské osobnosti,Vojáci,Katonák
29562,Vojenské osobnosti podľa štátu,Vojáci podle zemí,Katonák nemzetiség szerint
29563,Katovice,Katovice,Katowice
29564,Albumy Katy Perry,Alba Katy Perry,Katy Perry-albumok
29565,Kaukaz,Kavkaz,Kaukázus
29566,Kazašskí diplomati,Diplomaté Kazachstánu,Kazah diplomaták
29567,Kultúra v Kazachstane,Kazachstánská kultura,Kazah kultúra
29568,Futbal v Kazachstane,Fotbal v Kazachstánu,Kazah labdarúgás
29569,Kazašskí olympionici,Kazachstánští olympionici,Kazah olimpikonok
29570,Kazašskí športovci,Kazachstánští sportovci,Kazah sportolók
29571,Kazašskí tenisti,Kazachstánští tenisté,Kazah teniszezők
29572,Kazašskí kozmonauti,Kazachstánští kosmonauti,Kazah űrhajósok
29573,Kazašské osobnosti,Kazachstánci,Kazahok
29574,Kazachstan,Kazachstán,Kazahsztán
